Monthly Total Precipitation for CAMPO 7.8 NE, CO (CoCoRaHS)
For each month: monthly value and monthly number of missing days

Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
2006, M, -, M, -, M, -, 1.37, 0, 1.47, 0, 1.00, 0, 4.47, 0, 4.75, 0, 0.91, 0, 1.30, 2, 0.11, 2, 1.12, 5, M
2007, 0.35, 9, 0.00, 0, 2.18, 0, 1.67, 0, 0.18, 0, 1.47, 0, 1.85, 0, 1.82, 2, 0.61, 0, 0.03, 0, 0.03, 6, 0.19, 30, M
2008, 0.20, 0, 0.02, 0, 0.40, 0, 0.13, 0, 0.89, 0, 1.37, 4, 2.90, 0, 7.26, 0, 1.07, 0, 2.05, 0, 0.18, 0, 0.00, 0, 16.47
2009, 0.00, 0, 0.29, 0, 0.51, 1, 2.00, 0, 1.40, 0, 1.18, 0, 5.00, 0, 1.05, 0, 2.07, 16, 4.05, 1, 0.38, 0, 0.05, 0, 17.98
2010, 0.40, 0, 0.74, 0, 1.24, 0, 0.83, 0, 0.79, 0, 1.99, 0, 5.42, 0, 6.69, 1, 2.02, 0, 0.16, 0, 0.00, 0, 0.00, 24, 20.28
2011, 0.17, 30, M, 28, M, 31, M, 30, 0.00, 0, 0.72, 0, 2.51, 1, 2.71, 3, 0.28, 10, 0.79, 14, 0.51, 0, 0.73, 29, M
2012, 0.00, 0, 0.00, 0, 1.00, 0, 2.17, 0, 0.67, 0, 2.20, 0, 1.68, 0, 1.02, 0, 1.36, 0, 0.67, 0, 0.00, 0, 0.84, 29, 11.61
2013, 0.00, 0, 0.18, 0, 0.88, 0, 0.00, 0, 0.56, 0, 1.34, 0, 3.43, 0, 3.44, 0, 3.73, 0, 0.28, 0, 0.10, 18, M, 31, M
2014, 0.17, 0, 0.19, 0, 0.31, 0, 1.36, 0, 1.93, 0, 1.62, 0, 2.22, 0, 1.36, 0, 2.17, 0, 0.74, 0, 0.32, 0, 0.45, 0, 12.84
2015, 0.58, 0, 0.71, 0, 0.43, 0, 0.66, 0, 6.00, 0, 0.81, 0, 3.69, 0, 3.34, 0, 1.70, 0, 2.38, 0, 2.62, 0, 1.64, 0, 24.56
2016, 0.00, 0, 0.00, 0, 0.00, 0, 3.77, 0, 0.77, 0, 3.90, 0, 3.78, 0, 6.22, 0, 1.13, 0, 0.27, 0, 0.41, 0, 0.32, 0, 20.57
2017, 1.13, 0, 0.18, 0, 0.39, 0, 4.28, 0, 2.77, 0, 1.92, 0, 6.05, 0, 2.88, 0, 4.76, 10, M, 31, M, 30, M, 31, M
2018, 0.00, 0, 0.00, 0, 0.06, 0, 0.56, 0, 1.89, 0, 1.58, 0, 6.13, 0, 2.62, 0, 2.75, 0, 3.36, 0, 0.35, 0, 0.75, 0, 20.05
2019, 0.26, 0, 0.14, 0, 1.41, 0, 0.17, 0, 1.99, 0, 3.29, 0, 2.05, 1, 1.15, 0, 0.37, 0, 0.52, 0, 0.30, 0, 0.54, 0, 12.19
2020, 0.27, 0, 0.42, 0, 0.03, 0, 0.58, 0, 0.86, 1, 0.55, 0, 3.47, 0, 1.13, 0, 0.45, 0, 0.00, 0, 0.00, 0, 0.59, 0, 8.35
2021, 0.27, 0, 0.30, 0, 0.96, 0, 0.25, 0, 5.02, 0, 0.77, 0, 1.85, 0, 3.65, 0, 0.05, 0, 0.50, 0, 0.00, 0, 0.00, 0, 13.62
2022, 0.09, 0, 0.27, 0, 0.36, 0, 0.01, 0, 0.89, 0, 2.68, 0, 2.30, 0, 2.29, 0, 0.15, 0, T, 0, T, 1, 0.00, 0, 9.04
2023, 0.18, 1, 0.25, 0, 0.00, 0, 1.05, 0, 2.49, 0, 2.60, 0, 7.35, 0, 2.06, 2, 0.97, 17, M, 31, M, 30, M, 31, M
Mean, 0.24, , 0.23, , 0.64, , 1.23, , 1.70, , 1.72, , 3.68, , 3.08, , 1.48, , 1.07, , 0.33, , 0.48, , 15.63
Max, 1.13, , 0.74, , 2.18, , 4.28, , 6.00, , 3.90, , 7.35, , 7.26, , 4.76, , 4.05, , 2.62, , 1.64, , 24.56
Min, 0.00, , 0.00, , 0.00, , 0.00, , 0.00, , 0.55, , 1.68, , 1.02, , 0.05, , 0.00, , 0.00, , 0.00, , 8.35
