Monthly Total Precipitation for SPRINGFIELD, CO,,,,,,,,,,,,,,,,,,,,,,,,
For each month: monthly value and monthly number of missing days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
1900,0.05,0,0.45,0,0.25,0, M,18,3.35,0,2.55,0,0.65,0, M,31,1.53,0,0.98,0,0,0,0.1,1, M
1901,0.25,0,0.23,0,0.85,0, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1902, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1903, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1904, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1905, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1906, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1907, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1908, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1909, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1910, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1911, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1912, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1913, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1914, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1915, M,31, M,28,0.55,0,3.4,0,4.25,0,0.59,0,2.2,0,2.19,0,0.34,0,0.12,0,0.13,0,0.05,0, M
1916,0.7,0,0,0,0.1,0,1.25,0,0.62,0,0.75,0,0.8,0,5.55,0,0.34,0,1.1,0,0.15,0,0.3,0,11.66
1917,0.4,0,0.6,0,0.25,0,2.7,0,1.58,0,0.55,0,0.79,0,1.72,0,2.55,0,0.1,0,1.2,0,0,0,12.44
1918,0.8,0,1.15,0,0.7,0,1.24,0,2.3,0,2.25,0,3,0,1.98,0,2.37,0,1.15,0,0.3,0,0.2,0,17.44
1919,0.1,0,1.2,0,2.5,0,3.6,0,0.96,0,1.7,0,4.05,0,0,0,3.05,0,0.7,0,1,0,0,0,18.86
1920, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1921, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31,0.1,0,0.4,0, M
1922,0.35,0,0.9,0,1.3,0,2.05,0,1.85,0,0.68,0,2.13,0,0.88,0,0.12,0,0.26,0,1.03,0,0.25,0,11.8
1923,0,0,0.75,0,0.6,0,1.43,0,2.9,0,4.7,0,2.41,0,1.65,0,1.98,0,4.75,0,0.85,0,1.05,0,23.07
1924,0.3,0,0.7,0,2.1,0,0.6,0,2.2,0,0,0,0.65,0,1.28,0,0.25,0,0.8,0,0,0,1.15,0,10.03
1925,0.9,0,0.4,0,1,0,0.45,0,1.85,0,0.95,0,5.75,0,4.85,0,4,0,0.5,0,1.6,0,1,0,23.25
1926,0.75,0,0.6,0,3.1,0,1.4,0,1.7,0,3.3,0,1.15,0,0.35,0,0,0,0,0,0.25,0,0.7,0,13.3
1927,0.6,0,0.65,0,1.45,0,0.75,0,0,0,2.6,0,3.73,0,4.1,0,0.5,0,0.25,0,0,0,0.3,0,14.93
1928,0,0,1,0,1,0, M,2, M,5,4.43,0,2.8,0,1.8,0,0.6,0,4.05,0,1.35,0,0.4,0, M
1929,0.2,0,0.4,0,1.5,0,1.15,0,2.7,0,1,0,3.1,0,3,0,1.1,0,1.2,0,1.75,0,0.7,0,17.8
1930,0.4,0,0.25,0,0.55,0,1.3,0,2.15,0,2,0,5.95,0,1.77,0,0.75,0,3.3,0,1,1,1,0,20.42
1931,0,0, M,5, M,4,0.75,0,3.27,0,1.7,0, M,2,0.72,0,1.3,0,1.25,0,1.4,0,0.4,0, M
1932,1.1,0,0.4,0,2.35,0,2.5,0,0.57,0,7.85,0,0.49,0,0.32,0,0.75,0,0.62,0,0.5,0,0.4,0,17.85
1933,0.2,0,0.1,0,2.1,0,1.47,0,2.25,0,0.32,0,0.47,0,3.83,0,0.12,0,0.2,0,0.8,0,0.38,0,12.24
1934,0,0,2.2,0,0.7,0,0.7,0,0.91,0,3,0,0.5,0,0.85,0,1.26,0,0.75,0,0.33,0,0.25,0,11.45
1935,0.3,0,0.36,0,0.55,0,0.12,0,3.35,0,0.45,0,1.17,0,0.22,0,2.85,0,0.15,0,0.6,0,0.3,0,10.42
1936,0.2,0,0.15,0,0.3,0,0.4,0,4.28,0,0.51,0,0.77,0,0.3,0,2.06,0,0.85,0, M,3,0.66,0, M
1937,0.1,0,0.5,0,1.6,0,1,0,1.54,0,2.75,0,2.67,0,0.6,0,1.2,0,0.77,0,0.35,0,0.65,0,13.73
1938,0.1,0,0.6,1,1,0,0.81,0,3.6,0,1.42,0,2.7,0,0.75,0,2.73,0,1.78,0,0.34,0,0.27,0,16.1
1939,1.5,0,1,0,1.03,0,0.72,0,1.94,0,1.73,0,1.67,0,0.47,0,0.53,0, T,0,0.18,0,0.91,0,11.68
1940,0.54,0,0.7,0,1.48,0,1.09,0,2.59,0,0.77,0,1.91,0,1.6,0,1.2,0,0.96,0,2.18,0,0.3,0,15.32
1941,1.02,0,0.08,0,1.21,0,3.12,0,3.66,0,3.52,0,2.28,0,2.1,0,6.38,0,2.89,0,0.07,0,0.33,0,26.66
1942,0.25,0,0.06,0,2.27,1,5.43,0,0.14,1,5.18,0,1.27,0,0.98,0,1.85,0,4.12,1, T,1,0.55,0, M
1943,0.03,0,0.02,0,0.11,0,0.49,0,0.91,0,0.14,0,3.76,0,3.37,0,0.02,0,0.41,0,0.38,0,0.95,0,10.59
1944,0.55,0,0.33,0,0.84,0,4.5,0,6.27,0,0.84,0,4.45,0,1.45,0, T,0,0.5,0,0.85,0,0.86,0,21.44
1945,0.85,0,0.4,0,0.7,0,1.81,0,0.74,0,2.68,0,2.59,0,3.12,0,1.6,0,0.3,0,0.1,0,0.45,0,15.34
