year,annual_precip,missing_days,annual_precip_no_missing,
1900,16.03,31,NA,
1901,15.92,0,15.92,
1902,16.98,0,16.98,
1903,14.3,0,14.3,
1904,17.78,11,NA,
1905,20.01,41,NA,
1906,NA,365,NA,
1907,NA,365,NA,
1908,NA,366,NA,
1909,NA,365,NA,
1910,NA,365,NA,
1911,20.44,166,NA,
1912,10.42,32,NA,
1913,15.58,0,15.58,
1914,15.53,0,15.53,
1915,26.05,1,NA,
1916,12.91,8,NA,
1917,14.16,7,NA,
1918,20,1,NA,
1919,17.93,0,17.93,
1920,14.7,0,14.7,
1921,16.51,0,16.51,
1922,14.06,0,14.06,
1923,27.21,0,27.21,
1924,13.56,0,13.56,
1925,21.76,0,21.76,
1926,16.67,0,16.67,
1927,21.78,0,21.78,
1928,21.72,0,21.72,
1929,16.53,0,16.53,
1930,17.71,0,17.71,
1931,14.13,0,14.13,
1932,14.63,0,14.63,
1933,12.87,9,NA,
1934,9.3,0,9.3,
1935,9.71,1,NA,
1936,9.73,0,9.73,
1937,9.03,0,9.03,
1938,18.98,0,18.98,
1939,11.31,0,11.31,
1940,18.32,0,18.32,
1941,29.74,1,NA,
1942,28.56,0,28.56,
1943,18.33,5,NA,
1944,28.47,0,28.47,
1945,18.02,1,NA,
1946,24.55,0,24.55,
1947,18.7,0,18.7,
1948,20.22,0,20.22,
1949,19.01,0,19.01,
1950,20.32,1,NA,
1951,12.61,63,NA,
1952,13.03,12,NA,
1953,15.03,2,NA,
1954,11.29,0,11.29,
1955,14.38,0,14.38,
1956,13.83,0,13.83,
1957,26.27,0,26.27,
1958,24.5,0,24.5,
1959,18.02,0,18.02,
1960,15.84,0,15.84,
1961,17.9,0,17.9,
1962,14,0,14,
1963,8.76,8,NA,
1964,14.02,0,14.02,
1965,18.77,0,18.77,
1966,11.18,0,11.18,
1967,17.82,0,17.82,
1968,11.98,0,11.98,
1969,29.17,0,29.17,
1970,12.02,0,12.02,
1971,22.94,0,22.94,
1972,25.88,0,25.88,
1973,17.64,0,17.64,
1974,16.3,0,16.3,
1975,13.91,0,13.91,
1976,17.87,0,17.87,
1977,16.86,0,16.86,
1978,14.29,61,NA,
1979,24.16,92,NA,
1980,16.56,6,NA,
1981,17.79,0,17.79,
1982,16.57,1,NA,
1983,17.82,0,17.82,
1984,20.57,0,20.57,
1985,14.82,28,NA,
1986,20.28,0,20.28,
1987,19.54,36,NA,
1988,16.75,92,NA,
1989,0.14,334,NA,
1990,19.95,0,19.95,
1991,20.46,0,20.46,
1992,14.14,0,14.14,
1993,21.45,1,NA,
1994,20.4,0,20.4,
1995,16.05,0,16.05,
1996,23.58,0,23.58,
1997,19.48,1,NA,
1998,21.02,0,21.02,
1999,17.48,0,17.48,
2000,21.37,0,21.37,
2001,20.12,0,20.12,
2002,13.92,0,13.92,
2003,20.09,0,20.09,
2004,26.62,1,NA,
2005,16.8,0,16.8,
2006,18.06,15,NA,
2007,11.68,0,11.68,
2008,14.81,0,14.81,
2009,15.43,0,15.43,
2010,12.4,0,12.4,
2011,10.63,3,NA,
2012,12.69,8,NA,
2013,14.61,1,NA,
2014,16.62,0,16.62,
2015,27.99,0,27.99,
2016,21.13,0,21.13,
2017,26.36,0,26.36,
2018,16.11,5,NA,
2019,17.35,5,NA,
2020,10.7,0,10.7,
2021,13.77,0,13.77,
,,,,
,,,17.75938272,in
