Monthly Mean Avg Temperature for ELKHART, KS,,,,,,,,,,,,,,,,,,,,,,,,
For each month: monthly value and monthly number of missing days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
2016,36.6,0,43.5,0,49.1,0,54.9,0,61.5,0,77.3,0,81.1,0,75.7,0,71.3,0,62.2,0,50.9,0,32.5,1,58.1
2017,34.4,0,46.4,0,52.8,0,57.7,2,63.6,1,80.7,0,78.1,0,71.9,0,68.4,0,57,0,48.8,0,36.1,0,58
2018,36.1,0,35.3,0,48.5,0,50.7,0,70.6,0,78.1,2,78.2,0,75.3,0,69.3,3,53.7,0,40.2,2,38.3,5,56.2
2019,35.6,1,32.8,0,41.5,0,55.3,1,60,0,72.6,1,79.5,0,79,0,74.9,0,51,0,42.6,0,39.7,0,55.4
Mean,35.7, ,39.5, ,48, ,54.7, ,63.9, ,77.2, ,79.3, ,75.5, ,71, ,56, ,45.6, ,36.6, ,56.9
Max,36.6, ,46.4, ,52.8, ,57.7, ,70.6, ,80.7, ,81.1, ,79, ,74.9, ,62.2, ,50.9, ,39.7, ,58.1
Min,34.4, ,32.8, ,41.5, ,50.7, ,60, ,72.6, ,78.1, ,71.9, ,68.4, ,51, ,40.2, ,32.5, ,55.4
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Min,32.5,,,,,,,,,,,,,,,,,,,,,,,,
Max,81.1,,,,,,,,,,,,,,,,,,,,,,,,
