range,density,counts,real_pct
0 - 2000,0.02572887,12196,51.4577
2000 - 4000,0.00887726,4208,17.7545
4000 - 6000,0.00529724,2511,10.5945
6000 - 8000,0.00339437,1609,6.7887
8000 - 10000,0.00206531,979,4.1306
10000 - 12000,0.00142821,677,2.8564
12000 - 14000,0.00096831,459,1.9366
14000 - 16000,0.00070039,332,1.4008
16000 - 18000,0.00046201,219,0.9240
18000 - 20000,0.0003502,166,0.7004
20000 - 22000,0.00022784,108,0.4557
22000 - 24000,0.00013502,64,0.2700
24000 - 26000,0.00009915,47,0.1983
26000 - 28000,0.00005485,26,0.1097
28000 - 30000,0.00005063,24,0.1013
30000 - 32000,0.00004219,20,0.0844
32000 - 34000,0.00002532,12,0.0506
34000 - 36000,0.00001899,9,0.0380
36000 - 38000,0.00001266,6,0.0253
38000 - 40000,0.00001477,7,0.0295
40000 - 42000,0.00000422,2,0.0084
42000 - 44000,0.00000844,4,0.0169
44000 - 46000,0.00000633,3,0.0127
46000 - 48000,0.00000633,3,0.0127
48000 - 50000,0.00000211,1,0.0042
50000 - 52000,0.00000211,1,0.0042
52000 - 54000,0.00000211,1,0.0042
54000 - 56000,0.00000422,2,0.0084
56000 - 58000,0.00000422,2,0.0084
58000 - 60000,0.00000211,1,0.0042
60000 - 62000,0.00000211,1,0.0042
62000 - 64000,0,0,0.0000
64000 - 66000,0,0,0.0000
66000 - 68000,0.00000211,1,0.0042
,,,
,,,
,0.05000001,23701,
