range,density,counts,real_pct
-0.2,7.53132779,357,1.5063
-0.2,9.76752036,463,1.9535
-0.2,9.93628961,471,1.9873
-0.2,9.57765495,454,1.9155
-0.2,10.31602042,489,2.0632
-0.2,10.88561664,516,2.1771
-0.2,11.47630902,544,2.2953
-0.2,12.21467449,579,2.4429
-0.2,13.96565546,662,2.7931
-0.2,16.15965571,766,3.2319
-0.2,18.1426944,860,3.6285
-0.2,19.80929075,939,3.9619
-0.2,22.42521413,1063,4.4850
-0.2,23.54331041,1116,4.7087
-0.2,25.82169529,1224,5.1643
-0.2,27.63596473,1310,5.5272
0 - 0.2,26.89759926,1275,5.3795
0.2 - 0.4,26.91869541,1276,5.3837
0.4 - 0.6,23.90194507,1133,4.7804
0.6 - 0.8,22.3408295,1059,4.4682
0.8 - 1,19.93586768,945,3.9872
1 - 1.2,17.82625206,845,3.5653
1.2 - 1.4,15.25252099,723,3.0505
1.4 - 1.6,14.70402093,697,2.9408
1.6 - 1.8,13.03742458,618,2.6075
1.8 - 2,13.14290536,623,2.6286
2 - 2.2,10.84342433,514,2.1687
2.2 - 2.4,10.25273195,486,2.0505
2.4 - 2.6,9.59875111,455,1.9198
2.6 - 2.8,9.32450108,442,1.8649
2.8 - 3,8.98696258,426,1.7974
3 - 3.2,7.82667398,371,1.5653
,,,
,,23701,
